,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
11076,-136.04757744832565,-94.76483221288305,41.28274523538184,183.42999355477454,-156.6889500660359,-74.12345959519699,-81.67241507196562,-423.68464912110073,-756.1573766953147,-448.74015462884904,-400.5787913865358,-299.0114936295454
11077,-122.33161145855651,-84.19125829247434,38.14035316602118,164.4272406048009,-141.40178804158626,-65.12108170946844,-62.53039253324697,-342.40105741074626,-673.1548189393891,-381.2739240002401,-348.75619695472767,-264.48975061028915
11078,-109.85591314318692,-73.67772025661584,36.17819288650988,146.69477327150196,-127.94500958646086,-55.5886238133654,-44.26891998128813,-268.5495011872127,-595.4074147928768,-318.15932449565645,-299.68372714469865,-231.72828026451617
11079,-98.75048169996941,-63.964216387622656,34.78626531228538,130.73258989378775,-116.14361435613094,-46.57108373148427,-27.677999461529218,-202.91998220021466,-524.8450994281279,-261.24635673008413,-255.23138067482572,-201.99708187684524
11080,-89.0253163141673,-55.5407449606938,33.48457135341193,116.79568879452114,-105.76760199089196,-38.798459283991946,-11.84763300496181,-145.4725021198948,-461.88780910776086,-211.0550212533255,-216.01915625632444,-175.79615471881598
11081,-80.70041615853344,-48.76730424395171,31.933111914519998,105.08406828051619,-96.66697211581202,-32.800748286695615,0.382177372024775,-96.22706253642576,-407.8454811916936,-168.1453185497065,-182.8570525932778,-153.6354980488648
11082,-73.75578039328941,-43.50389249848198,30.251887894745522,95.50772664253721,-88.88172434068058,-28.3779485511129,11.981429667796968,-54.57366495961349,-361.2380541441617,-131.477249037785,-154.50506838266568,-134.77511111230086
11083,-68.12140816610466,-39.6505079783734,28.47090018766921,87.94666215529816,-82.3568582599575,-25.415057884542257,21.470121895630392,-20.09231081850237,-322.0954675407195,-100.81081307006026,-130.77320231439413,-119.1049931412821
11084,-63.53729861207629,-36.94714893075832,26.590149681255767,82.0108730774622,-76.83237345272224,-23.652074090133667,29.518252083863146,8.196998539018418,-289.3776620752274,-75.39601093268396,-111.11145307132522,-106.205143354792
11085,-59.743450853708765,-35.18381359585323,24.559637257793202,77.3353576516421,-72.02326948262328,-22.90399496695963,34.965818276048964,30.964261846606938,-262.87457956682374,-54.81284284517232,-95.27981932930686,-95.8955609586163
11086,-56.57986400089418,-34.16050020699968,22.419363793832037,73.66011410440073,-67.78954589782795,-22.950818310086436,39.172818531110174,49.52947791985896,-241.1461629668798,-38.001308960119616,-82.40829975720295,-87.51624514532016
11087,-53.82653715089261,-33.65720699070544,20.16933016012458,70.65514064625204,-63.911202230972485,-23.572541910645697,42.57925092349062,64.97264565669686,-222.7223563659399,-23.90140936291307,-71.55689301692357,-80.40719509422536
11088,-51.34346938831281,-33.42393216668596,17.91953722156415,68.05543547166249,-60.30323799911232,-24.464163555906193,44.78511354330827,77.92376403775685,-206.98310500064431,-12.053144071449012,-62.545597763455504,-74.328409971388
